make,model,model_clean
Acura,ADX A-Spec,ADX
Acura,ADX A-Spec Package,ADX
Acura,ILX Base,ILX
Acura,ILX Premium,ILX
Acura,ILX Premium & A-SPEC Packages,ILX
Acura,MDX 3.5L,MDX
Acura,MDX 3.5L w/Technology Package,MDX
Acura,MDX A-SPEC,MDX
Acura,MDX A-SPEC Advance Package,MDX
Acura,MDX Advance,MDX
Acura,MDX Advance Package,MDX
Acura,MDX SH-AWD A-Spec,MDX
Acura,MDX SH-AWD Technology,MDX
Acura,MDX Standard,MDX
Acura,MDX Technology,MDX
Acura,MDX Technology Package,MDX
Acura,MDX Type S Advance Package,MDX
Acura,RDX A-Spec,RDX
Acura,RDX A-Spec Advance Package,RDX
Acura,RDX A-Spec Package,RDX
Acura,RDX AWD,RDX
Acura,RDX AcuraWatch Plus Package,RDX
Acura,RDX AcuraWatch Plus Pkg,RDX
Acura,RDX Advance Package,RDX
Acura,RDX Base,RDX
Acura,RDX TECHNOLOGY,RDX
Acura,RDX Technology Package,RDX
Acura,RLX Technology Package,RDX
Acura,TLX A-Spec,TLX
Acura,TLX FWD,TLX
Acura,TLX PMC Edition,TLX
Acura,TLX SH-AWD A-Spec,TLX
Acura,TLX Technology,TLX
Acura,ZDX A-Spec,ZDX
Alfa,Romeo Giulia Base,Romeo Giulia
Alfa,Romeo Giulia RWD,Romeo Giulia
Alfa,Romeo Giulia Sprint,Romeo Giulia
Alfa,Romeo Giulia Ti,Romeo Giulia
Alfa,Romeo Giulia Ti Lusso,Romeo Giulia
Alfa,Romeo Giulia Veloce,Romeo Giulia
Alfa,Romeo Stelvio Base,Romeo Stelvio
Alfa,Romeo Stelvio Quadrifoglio,Romeo Stelvio
Alfa,Romeo Stelvio Sport,Romeo Stelvio
Alfa,Romeo Stelvio Sprint,Romeo Stelvio
Alfa,Romeo Stelvio Sprint AWD,Romeo Stelvio
Alfa,Romeo Stelvio Ti,Romeo Stelvio
Alfa,Romeo Stelvio Ti Sport,Romeo Stelvio
Alfa,Romeo Stelvio Veloce AWD,Romeo Stelvio
Alfa,Romeo Tonale AWD,Romeo Tonale
Alfa,Romeo Tonale Special Edition Intensa,Romeo Tonale
Alfa,Romeo Tonale Ti EAWD,Romeo Tonale
Audi,A3 2.0T Premium,A3
Audi,A3 2.0T S line Premium Plus,A3
Audi,A3 40 Premium,A3
